downloaded from http://massey.dur.ac.uk/drf/HD_He/He-HD.rate_coefficients
HD - He (Roueff, E. & Zeippen, C.J., 1999, A&A, 343, 1005)

       J       E(K)
   2.0    5.047D-11 1.306D-10 0.000D+00 1.008D-10 2.169D-11 8.752D-12 3.231D-12 1.166D-12 4.342D-13 1.594D-13
   3.0    2.543D-11 2.830D-11 9.906D-11 0.000D+00 9.500D-11 2.013D-11 7.243D-12 2.656D-12 9.330D-13 3.352D-13
   4.0    7.098D-12 1.031D-11 1.718D-11 7.653D-11 0.000D+00 8.628D-11 1.812D-11 5.939D-12 2.123D-12 7.154D-13
   5.0    1.850D-12 2.591D-12 4.752D-12 1.111D-11 5.914D-11 0.000D+00 7.655D-11 1.594D-11 4.878D-12 1.608D-12
   6.0    4.338D-13 5.660D-13 1.044D-12 2.381D-12 7.393D-12 4.557D-11 0.000D+00 6.693D-11 1.381D-11 3.849D-12
   7.0    8.525D-14 1.152D-13 1.977D-13 4.579D-13 1.271D-12 4.976D-12 3.510D-11 0.000D+00 5.836D-11 1.199D-11
   8.0    1.449D-14 1.950D-14 3.437D-14 7.510D-14 2.122D-13 7.110D-13 3.382D-12 2.725D-11 0.000D+00 5.078D-11
   9.0    2.308D-15 3.063D-15 5.292D-15 1.132D-14 2.999D-14 9.835D-14 3.954D-13 2.349D-12 2.130D-11 0.000D+00

   temperature cinetique=  1100.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 6.979D-11 1.454D-11 7.506D-12 2.620D-12 1.003D-12 3.985D-13 1.507D-13 5.529D-14 2.129D-14
   1.0    1.863D-10 0.000D+00 1.002D-10 2.219D-11 1.011D-11 3.736D-12 1.381D-12 5.412D-13 1.977D-13 7.506D-14
   2.0    5.126D-11 1.324D-10 0.000D+00 1.019D-10 2.206D-11 8.970D-12 3.339D-12 1.216D-12 4.564D-13 1.698D-13
   3.0    2.619D-11 2.900D-11 1.008D-10 0.000D+00 9.620D-11 2.052D-11 7.448D-12 2.755D-12 9.760D-13 3.553D-13
   4.0    7.427D-12 1.073D-11 1.773D-11 7.816D-11 0.000D+00 8.754D-11 1.852D-11 6.126D-12 2.211D-12 7.543D-13
   5.0    1.970D-12 2.748D-12 4.996D-12 1.155D-11 6.064D-11 0.000D+00 7.784D-11 1.634D-11 5.049D-12 1.686D-12
   6.0    4.717D-13 6.125D-13 1.121D-12 2.527D-12 7.732D-12 4.693D-11 0.000D+00 6.821D-11 1.421D-11 4.010D-12
   7.0    9.489D-14 1.277D-13 2.171D-13 4.973D-13 1.361D-12 5.241D-12 3.629D-11 0.000D+00 5.963D-11 1.240D-11
   8.0    1.652D-14 2.213D-14 3.868D-14 8.358D-14 2.330D-13 7.684D-13 3.586D-12 2.830D-11 0.000D+00 5.206D-11
   9.0    2.716D-15 3.588D-15 6.146D-15 1.300D-14 3.396D-14 1.096D-13 4.323D-13 2.514D-12 2.223D-11 0.000D+00

   temperature cinetique=  1120.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 7.035D-11 1.467D-11 7.628D-12 2.682D-12 1.034D-12 4.141D-13 1.580D-13 5.840D-14 2.280D-14
   1.0    1.882D-10 0.000D+00 1.012D-10 2.249D-11 1.032D-11 3.844D-12 1.432D-12 5.659D-13 2.084D-13 8.019D-14
   2.0    5.204D-11 1.342D-10 0.000D+00 1.029D-10 2.242D-11 9.188D-12 3.447D-12 1.266D-12 4.790D-13 1.806D-13
   3.0    2.695D-11 2.970D-11 1.025D-10 0.000D+00 9.738D-11 2.090D-11 7.652D-12 2.855D-12 1.020D-12 3.761D-13
   4.0    7.761D-12 1.116D-11 1.829D-11 7.978D-11 0.000D+00 8.879D-11 1.892D-11 6.314D-12 2.299D-12 7.943D-13
   5.0    2.094D-12 2.910D-12 5.245D-12 1.198D-11 6.213D-11 0.000D+00 7.912D-11 1.674D-11 5.222D-12 1.765D-12
   6.0    5.116D-13 6.612D-13 1.201D-12 2.676D-12 8.076D-12 4.827D-11 0.000D+00 6.948D-11 1.460D-11 4.173D-12
   7.0    1.053D-13 1.410D-13 2.377D-13 5.386D-13 1.454D-12 5.510D-12 3.747D-11 0.000D+00 6.089D-11 1.282D-11
   8.0    1.876D-14 2.502D-14 4.336D-14 9.271D-14 2.551D-13 8.282D-13 3.796D-12 2.935D-11 0.000D+00 5.334D-11
   9.0    3.182D-15 4.183D-15 7.104D-15 1.485D-14 3.830D-14 1.216D-13 4.713D-13 2.684D-12 2.317D-11 0.000D+00

   temperature cinetique=  1140.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 7.091D-11 1.479D-11 7.749D-12 2.743D-12 1.065D-12 4.299D-13 1.654D-13 6.160D-14 2.438D-14
   1.0    1.901D-10 0.000D+00 1.021D-10 2.278D-11 1.052D-11 3.951D-12 1.482D-12 5.910D-13 2.193D-13 8.553D-14
   2.0    5.280D-11 1.359D-10 0.000D+00 1.040D-10 2.277D-11 9.405D-12 3.557D-12 1.316D-12 5.022D-13 1.919D-13
   3.0    2.771D-11 3.039D-11 1.042D-10 0.000D+00 9.855D-11 2.129D-11 7.856D-12 2.956D-12 1.064D-12 3.975D-13
   4.0    8.099D-12 1.159D-11 1.884D-11 8.138D-11 0.000D+00 9.003D-11 1.931D-11 6.502D-12 2.388D-12 8.354D-13
   5.0    2.221D-12 3.075D-12 5.497D-12 1.242D-11 6.361D-11 0.000D+00 8.039D-11 1.714D-11 5.396D-12 1.846D-12
   6.0    5.535D-13 7.120D-13 1.283D-12 2.829D-12 8.423D-12 4.962D-11 0.000D+00 7.074D-11 1.500D-11 4.338D-12
   7.0    1.164D-13 1.552D-13 2.596D-13 5.819D-13 1.550D-12 5.783D-12 3.866D-11 0.000D+00 6.215D-11 1.323D-11
   8.0    2.121D-14 2.817D-14 4.844D-14 1.025D-13 2.786D-13 8.907D-13 4.011D-12 3.041D-11 0.000D+00 5.461D-11
   9.0    3.709D-15 4.854D-15 8.177D-15 1.691D-14 4.304D-14 1.346D-13 5.125D-13 2.860D-12 2.412D-11 0.000D+00

   temperature cinetique=  1160.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 7.146D-11 1.492D-11 7.869D-12 2.804D-12 1.096D-12 4.458D-13 1.730D-13 6.489D-14 2.604D-14
   1.0    1.919D-10 0.000D+00 1.030D-10 2.307D-11 1.073D-11 4.058D-12 1.533D-12 6.166D-13 2.304D-13 9.110D-14
   2.0    5.355D-11 1.377D-10 0.000D+00 1.050D-10 2.312D-11 9.622D-12 3.666D-12 1.368D-12 5.258D-13 2.035D-13
   3.0    2.846D-11 3.108D-11 1.058D-10 0.000D+00 9.970D-11 2.167D-11 8.060D-12 3.058D-12 1.109D-12 4.196D-13
   4.0    8.440D-12 1.202D-11 1.939D-11 8.296D-11 0.000D+00 9.124D-11 1.970D-11 6.691D-12 2.479D-12 8.775D-13
   5.0    2.352D-12 3.244D-12 5.753D-12 1.286D-11 6.509D-11 0.000D+00 8.164D-11 1.754D-11 5.571D-12 1.928D-12
   6.0    5.974D-13 7.650D-13 1.368D-12 2.986D-12 8.773D-12 5.096D-11 0.000D+00 7.198D-11 1.539D-11 4.506D-12
   7.0    1.284D-13 1.703D-13 2.827D-13 6.272D-13 1.649D-12 6.061D-12 3.985D-11 0.000D+00 6.339D-11 1.365D-11
   8.0    2.390D-14 3.160D-14 5.394D-14 1.130D-13 3.033D-13 9.557D-13 4.230D-12 3.147D-11 0.000D+00 5.588D-11
   9.0    4.304D-15 5.607D-15 9.372D-15 1.918D-14 4.820D-14 1.485D-13 5.559D-13 3.042D-12 2.508D-11 0.000D+00

   temperature cinetique=  1180.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 7.200D-11 1.504D-11 7.987D-12 2.865D-12 1.127D-12 4.619D-13 1.807D-13 6.827D-14 2.776D-14
   1.0    1.937D-10 0.000D+00 1.039D-10 2.336D-11 1.093D-11 4.166D-12 1.585D-12 6.426D-13 2.419D-13 9.689D-14
   2.0    5.428D-11 1.394D-10 0.000D+00 1.061D-10 2.347D-11 9.837D-12 3.776D-12 1.420D-12 5.499D-13 2.156D-13
   3.0    2.921D-11 3.175D-11 1.075D-10 0.000D+00 1.008D-10 2.204D-11 8.263D-12 3.160D-12 1.155D-12 4.424D-13
   4.0    8.784D-12 1.246D-11 1.993D-11 8.452D-11 0.000D+00 9.245D-11 2.009D-11 6.880D-12 2.570D-12 9.206D-13
   5.0    2.486D-12 3.417D-12 6.014D-12 1.330D-11 6.655D-11 0.000D+00 8.287D-11 1.793D-11 5.747D-12 2.012D-12
   6.0    6.433D-13 8.202D-13 1.457D-12 3.146D-12 9.127D-12 5.229D-11 0.000D+00 7.321D-11 1.579D-11 4.675D-12
   7.0    1.411D-13 1.865D-13 3.070D-13 6.746D-13 1.752D-12 6.343D-12 4.104D-11 0.000D+00 6.463D-11 1.407D-11
   8.0    2.683D-14 3.533D-14 5.986D-14 1.241D-13 3.295D-13 1.023D-12 4.455D-12 3.253D-11 0.000D+00 5.715D-11
   9.0    4.973D-15 6.451D-15 1.070D-14 2.167D-14 5.379D-14 1.633D-13 6.015D-13 3.230D-12 2.605D-11 0.000D+00

   temperature cinetique=  1200.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 7.254D-11 1.515D-11 8.103D-12 2.926D-12 1.157D-12 4.782D-13 1.886D-13 7.173D-14 2.956D-14
   1.0    1.955D-10 0.000D+00 1.048D-10 2.364D-11 1.114D-11 4.273D-12 1.637D-12 6.691D-13 2.536D-13 1.029D-13
   2.0    5.500D-11 1.411D-10 0.000D+00 1.071D-10 2.382D-11 1.005D-11 3.887D-12 1.472D-12 5.745D-13 2.281D-13
   3.0    2.996D-11 3.243D-11 1.091D-10 0.000D+00 1.020D-10 2.241D-11 8.467D-12 3.264D-12 1.202D-12 4.659D-13
   4.0    9.132D-12 1.290D-11 2.048D-11 8.607D-11 0.000D+00 9.363D-11 2.048D-11 7.069D-12 2.663D-12 9.648D-13
   5.0    2.624D-12 3.593D-12 6.277D-12 1.374D-11 6.800D-11 0.000D+00 8.409D-11 1.832D-11 5.923D-12 2.098D-12
   6.0    6.912D-13 8.775D-13 1.548D-12 3.310D-12 9.483D-12 5.362D-11 0.000D+00 7.443D-11 1.618D-11 4.847D-12
   7.0    1.547D-13 2.036D-13 3.327D-13 7.239D-13 1.857D-12 6.629D-12 4.223D-11 0.000D+00 6.586D-11 1.450D-11
   8.0    3.002D-14 3.937D-14 6.623D-14 1.360D-13 3.570D-13 1.093D-12 4.684D-12 3.360D-11 0.000D+00 5.842D-11
   9.0    5.723D-15 7.391D-15 1.217D-14 2.440D-14 5.985D-14 1.792D-13 6.494D-13 3.423D-12 2.703D-11 0.000D+00

   temperature cinetique=  1220.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 7.306D-11 1.527D-11 8.218D-12 2.986D-12 1.188D-12 4.946D-13 1.966D-13 7.528D-14 3.142D-14
   1.0    1.973D-10 0.000D+00 1.056D-10 2.392D-11 1.134D-11 4.380D-12 1.689D-12 6.959D-13 2.656D-13 1.091D-13
   2.0    5.571D-11 1.427D-10 0.000D+00 1.081D-10 2.416D-11 1.027D-11 3.997D-12 1.526D-12 5.995D-13 2.410D-13
   3.0    3.071D-11 3.309D-11 1.107D-10 0.000D+00 1.031D-10 2.278D-11 8.670D-12 3.368D-12 1.249D-12 4.900D-13
   4.0    9.483D-12 1.334D-11 2.103D-11 8.760D-11 0.000D+00 9.480D-11 2.086D-11 7.259D-12 2.756D-12 1.010D-12
   5.0    2.764D-12 3.774D-12 6.544D-12 1.418D-11 6.944D-11 0.000D+00 8.530D-11 1.871D-11 6.100D-12 2.185D-12
   6.0    7.411D-13 9.370D-13 1.641D-12 3.477D-12 9.842D-12 5.494D-11 0.000D+00 7.564D-11 1.657D-11 5.021D-12
   7.0    1.691D-13 2.217D-13 3.596D-13 7.753D-13 1.966D-12 6.920D-12 4.342D-11 0.000D+00 6.708D-11 1.492D-11
   8.0    3.347D-14 4.374D-14 7.306D-14 1.487D-13 3.858D-13 1.166D-12 4.917D-12 3.468D-11 0.000D+00 5.969D-11
   9.0    6.560D-15 8.437D-15 1.379D-14 2.738D-14 6.638D-14 1.960D-13 6.995D-13 3.622D-12 2.802D-11 0.000D+00

   temperature cinetique=  1240.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 7.358D-11 1.538D-11 8.332D-12 3.045D-12 1.219D-12 5.111D-13 2.048D-13 7.891D-14 3.336D-14
   1.0    1.990D-10 0.000D+00 1.065D-10 2.419D-11 1.154D-11 4.487D-12 1.741D-12 7.231D-13 2.779D-13 1.156D-13
   2.0    5.641D-11 1.444D-10 0.000D+00 1.091D-10 2.449D-11 1.048D-11 4.108D-12 1.580D-12 6.250D-13 2.543D-13
   3.0    3.145D-11 3.375D-11 1.123D-10 0.000D+00 1.041D-10 2.314D-11 8.872D-12 3.472D-12 1.297D-12 5.148D-13
   4.0    9.836D-12 1.378D-11 2.157D-11 8.912D-11 0.000D+00 9.596D-11 2.124D-11 7.448D-12 2.850D-12 1.056D-12
   5.0    2.908D-12 3.957D-12 6.815D-12 1.463D-11 7.087D-11 0.000D+00 8.650D-11 1.910D-11 6.278D-12 2.273D-12
   6.0    7.930D-13 9.986D-13 1.738D-12 3.647D-12 1.020D-11 5.626D-11 0.000D+00 7.683D-11 1.696D-11 5.197D-12
   7.0    1.845D-13 2.408D-13 3.879D-13 8.286D-13 2.077D-12 7.213D-12 4.460D-11 0.000D+00 6.829D-11 1.535D-11
   8.0    3.721D-14 4.844D-14 8.037D-14 1.621D-13 4.161D-13 1.241D-12 5.155D-12 3.575D-11 0.000D+00 6.095D-11
   9.0    7.490D-15 9.595D-15 1.557D-14 3.062D-14 7.342D-14 2.139D-13 7.520D-13 3.826D-12 2.902D-11 0.000D+00

   temperature cinetique=  1260.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 7.409D-11 1.549D-11 8.444D-12 3.105D-12 1.250D-12 5.277D-13 2.131D-13 8.262D-14 3.537D-14
   1.0    2.007D-10 0.000D+00 1.073D-10 2.446D-11 1.174D-11 4.594D-12 1.794D-12 7.507D-13 2.903D-13 1.223D-13
   2.0    5.709D-11 1.460D-10 0.000D+00 1.101D-10 2.482D-11 1.069D-11 4.220D-12 1.634D-12 6.510D-13 2.681D-13
   3.0    3.219D-11 3.441D-11 1.138D-10 0.000D+00 1.052D-10 2.350D-11 9.074D-12 3.577D-12 1.346D-12 5.402D-13
   4.0    1.019D-11 1.422D-11 2.211D-11 9.062D-11 0.000D+00 9.710D-11 2.162D-11 7.638D-12 2.945D-12 1.104D-12
   5.0    3.055D-12 4.144D-12 7.088D-12 1.507D-11 7.229D-11 0.000D+00 8.768D-11 1.949D-11 6.456D-12 2.363D-12
   6.0    8.469D-13 1.062D-12 1.837D-12 3.821D-12 1.057D-11 5.757D-11 0.000D+00 7.801D-11 1.735D-11 5.375D-12
   7.0    2.007D-13 2.610D-13 4.175D-13 8.840D-13 2.191D-12 7.510D-12 4.579D-11 0.000D+00 6.949D-11 1.578D-11
   8.0    4.124D-14 5.350D-14 8.817D-14 1.762D-13 4.478D-13 1.319D-12 5.397D-12 3.683D-11 0.000D+00 6.221D-11
   9.0    8.521D-15 1.087D-14 1.752D-14 3.414D-14 8.097D-14 2.329D-13 8.068D-13 4.036D-12 3.002D-11 0.000D+00

   temperature cinetique=  1280.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 7.459D-11 1.560D-11 8.555D-12 3.164D-12 1.281D-12 5.445D-13 2.215D-13 8.642D-14 3.746D-14
   1.0    2.024D-10 0.000D+00 1.081D-10 2.472D-11 1.193D-11 4.701D-12 1.847D-12 7.787D-13 3.031D-13 1.292D-13
   2.0    5.776D-11 1.476D-10 0.000D+00 1.110D-10 2.515D-11 1.090D-11 4.331D-12 1.689D-12 6.774D-13 2.822D-13
   3.0    3.292D-11 3.506D-11 1.154D-10 0.000D+00 1.063D-10 2.386D-11 9.276D-12 3.683D-12 1.395D-12 5.663D-13
   4.0    1.055D-11 1.467D-11 2.265D-11 9.211D-11 0.000D+00 9.822D-11 2.199D-11 7.828D-12 3.041D-12 1.152D-12
   5.0    3.205D-12 4.335D-12 7.364D-12 1.552D-11 7.369D-11 0.000D+00 8.885D-11 1.987D-11 6.635D-12 2.454D-12
   6.0    9.028D-13 1.128D-12 1.939D-12 3.997D-12 1.093D-11 5.888D-11 0.000D+00 7.918D-11 1.774D-11 5.554D-12
   7.0    2.179D-13 2.822D-13 4.485D-13 9.413D-13 2.308D-12 7.811D-12 4.697D-11 0.000D+00 7.069D-11 1.621D-11
   8.0    4.558D-14 5.891D-14 9.648D-14 1.912D-13 4.809D-13 1.399D-12 5.643D-12 3.791D-11 0.000D+00 6.347D-11
   9.0    9.661D-15 1.228D-14 1.966D-14 3.796D-14 8.907D-14 2.530D-13 8.639D-13 4.251D-12 3.103D-11 0.000D+00

   temperature cinetique=  1300.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 7.508D-11 1.570D-11 8.664D-12 3.222D-12 1.312D-12 5.613D-13 2.301D-13 9.029D-14 3.962D-14
   1.0    2.041D-10 0.000D+00 1.090D-10 2.498D-11 1.213D-11 4.808D-12 1.900D-12 8.071D-13 3.161D-13 1.364D-13
   2.0    5.842D-11 1.492D-10 0.000D+00 1.120D-10 2.547D-11 1.111D-11 4.443D-12 1.744D-12 7.041D-13 2.968D-13
   3.0    3.365D-11 3.570D-11 1.169D-10 0.000D+00 1.073D-10 2.421D-11 9.478D-12 3.789D-12 1.444D-12 5.931D-13
   4.0    1.091D-11 1.511D-11 2.319D-11 9.358D-11 0.000D+00 9.934D-11 2.236D-11 8.018D-12 3.137D-12 1.201D-12
   5.0    3.357D-12 4.528D-12 7.644D-12 1.596D-11 7.509D-11 0.000D+00 9.000D-11 2.025D-11 6.815D-12 2.547D-12
   6.0    9.607D-13 1.196D-12 2.044D-12 4.177D-12 1.130D-11 6.018D-11 0.000D+00 8.034D-11 1.813D-11 5.735D-12
   7.0    2.359D-13 3.046D-13 4.808D-13 1.001D-12 2.428D-12 8.114D-12 4.814D-11 0.000D+00 7.187D-11 1.664D-11
   8.0    5.024D-14 6.471D-14 1.053D-13 2.069D-13 5.155D-13 1.481D-12 5.894D-12 3.899D-11 0.000D+00 6.473D-11
   9.0    1.092D-14 1.383D-14 2.198D-14 4.208D-14 9.772D-14 2.741D-13 9.233D-13 4.472D-12 3.205D-11 0.000D+00

   temperature cinetique=  1320.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 7.557D-11 1.580D-11 8.772D-12 3.280D-12 1.342D-12 5.783D-13 2.387D-13 9.425D-14 4.186D-14
   1.0    2.057D-10 0.000D+00 1.098D-10 2.524D-11 1.232D-11 4.914D-12 1.953D-12 8.358D-13 3.293D-13 1.438D-13
   2.0    5.906D-11 1.507D-10 0.000D+00 1.129D-10 2.579D-11 1.132D-11 4.555D-12 1.800D-12 7.313D-13 3.118D-13
   3.0    3.437D-11 3.633D-11 1.184D-10 0.000D+00 1.083D-10 2.456D-11 9.678D-12 3.896D-12 1.495D-12 6.205D-13
   4.0    1.127D-11 1.556D-11 2.372D-11 9.503D-11 0.000D+00 1.004D-10 2.273D-11 8.207D-12 3.234D-12 1.251D-12
   5.0    3.513D-12 4.725D-12 7.925D-12 1.640D-11 7.647D-11 0.000D+00 9.114D-11 2.063D-11 6.994D-12 2.641D-12
   6.0    1.021D-12 1.266D-12 2.151D-12 4.359D-12 1.167D-11 6.147D-11 0.000D+00 8.149D-11 1.851D-11 5.918D-12
   7.0    2.550D-13 3.280D-13 5.145D-13 1.062D-12 2.551D-12 8.421D-12 4.932D-11 0.000D+00 7.305D-11 1.708D-11
   8.0    5.523D-14 7.090D-14 1.147D-13 2.235D-13 5.515D-13 1.566D-12 6.147D-12 4.008D-11 0.000D+00 6.598D-11
   9.0    1.230D-14 1.552D-14 2.452D-14 4.652D-14 1.069D-13 2.965D-13 9.852D-13 4.698D-12 3.308D-11 0.000D+00

   temperature cinetique=  1340.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 7.605D-11 1.591D-11 8.879D-12 3.338D-12 1.373D-12 5.953D-13 2.475D-13 9.828D-14 4.417D-14
   1.0    2.073D-10 0.000D+00 1.106D-10 2.549D-11 1.251D-11 5.020D-12 2.007D-12 8.648D-13 3.428D-13 1.514D-13
   2.0    5.970D-11 1.522D-10 0.000D+00 1.138D-10 2.611D-11 1.153D-11 4.667D-12 1.856D-12 7.589D-13 3.273D-13
   3.0    3.509D-11 3.696D-11 1.199D-10 0.000D+00 1.094D-10 2.491D-11 9.879D-12 4.003D-12 1.545D-12 6.486D-13
   4.0    1.164D-11 1.600D-11 2.425D-11 9.648D-11 0.000D+00 1.015D-10 2.309D-11 8.397D-12 3.332D-12 1.302D-12
   5.0    3.671D-12 4.924D-12 8.210D-12 1.685D-11 7.785D-11 0.000D+00 9.227D-11 2.101D-11 7.175D-12 2.736D-12
   6.0    1.083D-12 1.338D-12 2.261D-12 4.544D-12 1.204D-11 6.275D-11 0.000D+00 8.263D-11 1.890D-11 6.103D-12
   7.0    2.750D-13 3.525D-13 5.496D-13 1.125D-12 2.676D-12 8.730D-12 5.049D-11 0.000D+00 7.422D-11 1.751D-11
   8.0    6.056D-14 7.749D-14 1.246D-13 2.409D-13 5.889D-13 1.654D-12 6.405D-12 4.116D-11 0.000D+00 6.723D-11
   9.0    1.381D-14 1.737D-14 2.726D-14 5.130D-14 1.168D-13 3.200D-13 1.049D-12 4.928D-12 3.411D-11 0.000D+00

   temperature cinetique=  1360.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 7.653D-11 1.600D-11 8.984D-12 3.395D-12 1.404D-12 6.125D-13 2.564D-13 1.024D-13 4.656D-14
   1.0    2.089D-10 0.000D+00 1.113D-10 2.574D-11 1.270D-11 5.126D-12 2.060D-12 8.942D-13 3.565D-13 1.593D-13
   2.0    6.032D-11 1.537D-10 0.000D+00 1.147D-10 2.642D-11 1.173D-11 4.779D-12 1.913D-12 7.869D-13 3.431D-13
   3.0    3.581D-11 3.758D-11 1.213D-10 0.000D+00 1.104D-10 2.525D-11 1.008D-11 4.111D-12 1.597D-12 6.773D-13
   4.0    1.200D-11 1.645D-11 2.478D-11 9.790D-11 0.000D+00 1.026D-10 2.345D-11 8.586D-12 3.431D-12 1.354D-12
   5.0    3.832D-12 5.126D-12 8.496D-12 1.729D-11 7.921D-11 0.000D+00 9.339D-11 2.138D-11 7.355D-12 2.833D-12
   6.0    1.146D-12 1.413D-12 2.373D-12 4.732D-12 1.242D-11 6.403D-11 0.000D+00 8.375D-11 1.928D-11 6.289D-12
   7.0    2.960D-13 3.782D-13 5.860D-13 1.191D-12 2.804D-12 9.042D-12 5.166D-11 0.000D+00 7.538D-11 1.795D-11
   8.0    6.625D-14 8.450D-14 1.351D-13 2.592D-13 6.278D-13 1.743D-12 6.666D-12 4.225D-11 0.000D+00 6.847D-11
   9.0    1.546D-14 1.938D-14 3.023D-14 5.643D-14 1.272D-13 3.446D-13 1.116D-12 5.164D-12 3.515D-11 0.000D+00

   temperature cinetique=  1380.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 7.699D-11 1.610D-11 9.088D-12 3.452D-12 1.434D-12 6.297D-13 2.654D-13 1.066D-13 4.902D-14
   1.0    2.105D-10 0.000D+00 1.121D-10 2.599D-11 1.289D-11 5.232D-12 2.114D-12 9.239D-13 3.704D-13 1.674D-13
   2.0    6.094D-11 1.552D-10 0.000D+00 1.156D-10 2.673D-11 1.194D-11 4.891D-12 1.971D-12 8.153D-13 3.594D-13
   3.0    3.652D-11 3.820D-11 1.228D-10 0.000D+00 1.114D-10 2.559D-11 1.028D-11 4.219D-12 1.648D-12 7.066D-13
   4.0    1.237D-11 1.690D-11 2.531D-11 9.931D-11 0.000D+00 1.036D-10 2.381D-11 8.776D-12 3.530D-12 1.407D-12
   5.0    3.995D-12 5.332D-12 8.785D-12 1.774D-11 8.056D-11 0.000D+00 9.450D-11 2.175D-11 7.536D-12 2.930D-12
   6.0    1.212D-12 1.489D-12 2.487D-12 4.923D-12 1.279D-11 6.530D-11 0.000D+00 8.487D-11 1.966D-11 6.476D-12
   7.0    3.181D-13 4.050D-13 6.238D-13 1.258D-12 2.934D-12 9.356D-12 5.282D-11 0.000D+00 7.653D-11 1.839D-11
   8.0    7.230D-14 9.194D-14 1.461D-13 2.783D-13 6.682D-13 1.835D-12 6.930D-12 4.333D-11 0.000D+00 6.971D-11
   9.0    1.726D-14 2.156D-14 3.344D-14 6.193D-14 1.383D-13 3.705D-13 1.185D-12 5.405D-12 3.619D-11 0.000D+00

   temperature cinetique=  1400.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 7.746D-11 1.620D-11 9.191D-12 3.509D-12 1.465D-12 6.470D-13 2.746D-13 1.108D-13 5.156D-14
   1.0    2.120D-10 0.000D+00 1.129D-10 2.623D-11 1.308D-11 5.337D-12 2.168D-12 9.539D-13 3.846D-13 1.757D-13
   2.0    6.154D-11 1.567D-10 0.000D+00 1.165D-10 2.704D-11 1.214D-11 5.003D-12 2.028D-12 8.441D-13 3.761D-13
   3.0    3.723D-11 3.881D-11 1.242D-10 0.000D+00 1.123D-10 2.593D-11 1.048D-11 4.328D-12 1.701D-12 7.366D-13
   4.0    1.274D-11 1.735D-11 2.584D-11 1.007D-10 0.000D+00 1.047D-10 2.417D-11 8.965D-12 3.629D-12 1.461D-12
   5.0    4.161D-12 5.539D-12 9.076D-12 1.818D-11 8.190D-11 0.000D+00 9.559D-11 2.212D-11 7.717D-12 3.029D-12
   6.0    1.280D-12 1.567D-12 2.604D-12 5.116D-12 1.317D-11 6.657D-11 0.000D+00 8.597D-11 2.004D-11 6.665D-12
   7.0    3.411D-13 4.329D-13 6.631D-13 1.327D-12 3.067D-12 9.673D-12 5.399D-11 0.000D+00 7.767D-11 1.883D-11
   8.0    7.873D-14 9.982D-14 1.578D-13 2.983D-13 7.100D-13 1.930D-12 7.198D-12 4.442D-11 0.000D+00 7.095D-11
   9.0    1.922D-14 2.393D-14 3.690D-14 6.780D-14 1.500D-13 3.976D-13 1.256D-12 5.651D-12 3.724D-11 0.000D+00

   temperature cinetique=  1420.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 7.791D-11 1.629D-11 9.293D-12 3.565D-12 1.495D-12 6.644D-13 2.838D-13 1.152D-13 5.417D-14
