downloaded from http://massey.dur.ac.uk/drf/HD_He/He-HD.rate_coefficients
HD - He (Roueff, E. & Zeippen, C.J., 1999, A&A, 343, 1005)

       J       E(K)
   3.0    1.229D-13 3.261D-13 5.051D-12 0.000D+00 1.762D-11 1.560D-12 2.233D-13 3.397D-14 5.198D-15 7.414D-16
   4.0    1.989D-15 6.626D-15 5.067D-14 1.816D-12 0.000D+00 1.217D-11 9.995D-13 1.258D-13 1.817D-14 2.409D-15
   5.0    1.889D-17 5.665D-17 4.521D-16 8.646D-15 6.549D-13 0.000D+00 8.268D-12 6.217D-13 7.121D-14 8.909D-15
   6.0    9.617D-20 2.744D-19 2.079D-18 3.608D-17 1.567D-15 2.410D-13 0.000D+00 5.606D-12 3.857D-13 3.836D-14
   7.0    2.705D-22 7.762D-22 5.419D-21 8.952D-20 3.218D-18 2.957D-16 9.146D-14 0.000D+00 3.812D-12 2.442D-13
   8.0    4.370D-25 1.225D-24 8.482D-24 1.293D-22 4.386D-21 3.196D-19 5.938D-17 3.597D-14 0.000D+00 2.768D-12
   9.0    3.721D-28 1.033D-27 6.977D-27 1.038D-25 3.273D-24 2.250D-22 3.324D-20 1.297D-17 1.558D-14 0.000D+00

   temperature cinetique=   220.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 2.661D-11 4.018D-12 9.373D-13 1.534D-13 2.822D-14 5.124D-15 9.134D-16 1.615D-16 2.523D-17
   1.0    4.454D-11 0.000D+00 3.240D-11 3.852D-12 7.952D-13 1.320D-13 2.283D-14 4.101D-15 7.090D-16 1.097D-16
   2.0    3.503D-12 1.688D-11 0.000D+00 2.688D-11 2.751D-12 4.791D-13 7.885D-14 1.309D-14 2.249D-15 3.401D-16
   3.0    2.019D-13 4.956D-13 6.639D-12 0.000D+00 1.982D-11 1.851D-12 2.781D-13 4.415D-14 7.012D-15 1.036D-15
   4.0    4.282D-15 1.326D-14 8.807D-14 2.569D-12 0.000D+00 1.392D-11 1.208D-12 1.598D-13 2.406D-14 3.310D-15
   5.0    5.628D-17 1.573D-16 1.096D-15 1.714D-14 9.949D-13 0.000D+00 9.600D-12 7.657D-13 9.206D-14 1.198D-14
   6.0    4.171D-19 1.110D-18 7.362D-18 1.051D-16 3.524D-15 3.918D-13 0.000D+00 6.598D-12 4.827D-13 5.016D-14
   7.0    1.786D-21 4.793D-21 2.937D-20 4.009D-19 1.120D-17 7.509D-16 1.585D-13 0.000D+00 4.541D-12 3.083D-13
   8.0    4.605D-24 1.208D-23 7.358D-23 9.286D-22 2.459D-20 1.317D-18 1.691D-16 6.623D-14 0.000D+00 3.313D-12
   9.0    6.552D-27 1.703D-26 1.013D-25 1.250D-24 3.080D-23 1.560D-21 1.601D-19 4.094D-17 3.017D-14 0.000D+00

   temperature cinetique=   240.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 2.831D-11 4.397D-12 1.072D-12 1.825D-13 3.489D-14 6.574D-15 1.210D-15 2.208D-16 3.560D-17
   1.0    4.974D-11 0.000D+00 3.490D-11 4.329D-12 9.328D-13 1.613D-13 2.898D-14 5.388D-15 9.623D-16 1.537D-16
   2.0    4.434D-12 2.003D-11 0.000D+00 2.940D-11 3.152D-12 5.747D-13 9.849D-14 1.696D-14 3.016D-15 4.713D-16
   3.0    3.086D-13 7.091D-13 8.394D-12 0.000D+00 2.204D-11 2.163D-12 3.402D-13 5.625D-14 9.263D-15 1.417D-15
   4.0    8.242D-15 2.398D-14 1.412D-13 3.459D-12 0.000D+00 1.573D-11 1.438D-12 1.992D-13 3.123D-14 4.452D-15
   5.0    1.427D-16 3.754D-16 2.331D-15 3.072D-14 1.424D-12 0.000D+00 1.100D-11 9.269D-13 1.167D-13 1.578D-14
   6.0    1.452D-18 3.643D-18 2.158D-17 2.611D-16 7.031D-15 5.942D-13 0.000D+00 7.657D-12 5.933D-13 6.432D-14
   7.0    8.871D-21 2.247D-20 1.233D-19 1.432D-18 3.232D-17 1.661D-15 2.540D-13 0.000D+00 5.330D-12 3.821D-13
   8.0    3.393D-23 8.413D-23 4.595D-22 4.944D-21 1.062D-19 4.384D-18 4.126D-16 1.117D-13 0.000D+00 3.908D-12
   9.0    7.435D-26 1.828D-25 9.762D-25 1.028D-23 2.059D-22 8.062D-21 6.082D-19 1.089D-16 5.313D-14 0.000D+00

   temperature cinetique=   260.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 2.995D-11 4.771D-12 1.212D-12 2.141D-13 4.245D-14 8.286D-15 1.574D-15 2.963D-16 4.919D-17
   1.0    5.484D-11 0.000D+00 3.732D-11 4.813D-12 1.080D-12 1.942D-13 3.615D-14 6.948D-15 1.281D-15 2.110D-16
   2.0    5.442D-12 2.325D-11 0.000D+00 3.190D-11 3.568D-12 6.795D-13 1.210D-13 2.158D-14 3.968D-15 6.399D-16
   3.0    4.461D-13 9.673D-13 1.029D-11 0.000D+00 2.428D-11 2.494D-12 4.097D-13 7.043D-14 1.201D-14 1.898D-15
   4.0    1.453D-14 4.004D-14 2.124D-13 4.479D-12 0.000D+00 1.758D-11 1.686D-12 2.442D-13 3.979D-14 5.871D-15
   5.0    3.187D-16 7.960D-16 4.472D-15 5.089D-14 1.944D-12 0.000D+00 1.246D-11 1.105D-12 1.454D-13 2.041D-14
   6.0    4.260D-18 1.015D-17 5.455D-17 5.725D-16 1.277D-14 8.532D-13 0.000D+00 8.777D-12 7.178D-13 8.105D-14
   7.0    3.528D-20 8.506D-20 4.242D-19 4.291D-18 8.064D-17 3.300D-15 3.826D-13 0.000D+00 6.177D-12 4.662D-13
   8.0    1.892D-22 4.468D-22 2.222D-21 2.085D-20 3.744D-19 1.237D-17 8.915D-16 1.760D-13 0.000D+00 4.549D-12
   9.0    5.996D-25 1.404D-24 6.838D-24 6.288D-23 1.054D-21 3.313D-20 1.921D-18 2.535D-16 8.682D-14 0.000D+00

   temperature cinetique=   280.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 3.155D-11 5.139D-12 1.357D-12 2.482D-13 5.093D-14 1.028D-14 2.013D-15 3.904D-16 6.670D-17
   1.0    5.983D-11 0.000D+00 3.969D-11 5.304D-12 1.236D-12 2.305D-13 4.440D-14 8.811D-15 1.675D-15 2.841D-16
   2.0    6.514D-12 2.653D-11 0.000D+00 3.436D-11 3.999D-12 7.931D-13 1.465D-13 2.702D-14 5.130D-15 8.527D-16
   3.0    6.163D-13 1.270D-12 1.231D-11 0.000D+00 2.652D-11 2.844D-12 4.866D-13 8.681D-14 1.531D-14 2.497D-15
   4.0    2.388D-14 6.271D-14 3.036D-13 5.619D-12 0.000D+00 1.946D-11 1.953D-12 2.950D-13 4.989D-14 7.605D-15
   5.0    6.435D-16 1.536D-15 7.906D-15 7.913D-14 2.555D-12 0.000D+00 1.396D-11 1.301D-12 1.784D-13 2.594D-14
   6.0    1.090D-17 2.483D-17 1.226D-16 1.137D-15 2.153D-14 1.172D-12 0.000D+00 9.953D-12 8.563D-13 1.005D-13
   7.0    1.176D-19 2.714D-19 1.246D-18 1.117D-17 1.791D-16 6.014D-15 5.482D-13 0.000D+00 7.077D-12 5.607D-13
   8.0    8.455D-22 1.913D-21 8.766D-21 7.303D-20 1.123D-18 3.057D-17 1.748D-15 2.623D-13 0.000D+00 5.235D-12
   9.0    3.687D-24 8.279D-24 3.719D-23 3.040D-22 4.369D-21 1.135D-19 5.239D-18 5.305D-16 1.336D-13 0.000D+00

   temperature cinetique=   300.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 3.309D-11 5.501D-12 1.506D-12 2.847D-13 6.033D-14 1.258D-14 2.535D-15 5.062D-16 8.889D-17
   1.0    6.470D-11 0.000D+00 4.200D-11 5.798D-12 1.401D-12 2.704D-13 5.380D-14 1.101D-14 2.156D-15 3.759D-16
   2.0    7.641D-12 2.983D-11 0.000D+00 3.678D-11 4.442D-12 9.151D-13 1.750D-13 3.333D-14 6.529D-15 1.117D-15
   3.0    8.207D-13 1.616D-12 1.443D-11 0.000D+00 2.875D-11 3.210D-12 5.708D-13 1.055D-13 1.922D-14 3.230D-15
   4.0    3.707D-14 9.327D-14 4.165D-13 6.871D-12 0.000D+00 2.137D-11 2.238D-12 3.517D-13 6.162D-14 9.695D-15
   5.0    1.197D-15 2.743D-15 1.307D-14 1.169D-13 3.256D-12 0.000D+00 1.552D-11 1.512D-12 2.158D-13 3.246D-14
   6.0    2.499D-17 5.466D-17 2.503D-16 2.081D-15 3.414D-14 1.554D-12 0.000D+00 1.118D-11 1.009D-12 1.229D-13
   7.0    3.398D-19 7.546D-19 3.217D-18 2.595D-17 3.620D-16 1.022D-14 7.543D-13 0.000D+00 8.027D-12 6.661D-13
   8.0    3.159D-21 6.882D-21 2.934D-20 2.201D-19 2.953D-18 6.789D-17 3.169D-15 3.737D-13 0.000D+00 5.964D-12
   9.0    1.822D-23 3.940D-23 1.648D-22 1.215D-21 1.526D-20 3.353D-19 1.268D-17 1.018D-15 1.959D-13 0.000D+00

   temperature cinetique=   320.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 3.458D-11 5.856D-12 1.658D-12 3.234D-13 7.068D-14 1.519D-14 3.148D-15 6.466D-16 1.166D-16
   1.0    6.946D-11 0.000D+00 4.424D-11 6.295D-12 1.573D-12 3.137D-13 6.438D-14 1.357D-14 2.735D-15 4.899D-16
   2.0    8.812D-12 3.314D-11 0.000D+00 3.916D-11 4.894D-12 1.045D-12 2.065D-13 4.058D-14 8.191D-15 1.441D-15
   3.0    1.060D-12 2.003D-12 1.663D-11 0.000D+00 3.098D-11 3.590D-12 6.623D-13 1.266D-13 2.380D-14 4.116D-15
   4.0    5.488D-14 1.329D-13 5.519D-13 8.224D-12 0.000D+00 2.330D-11 2.538D-12 4.143D-13 7.511D-14 1.218D-14
   5.0    2.081D-15 4.600D-15 2.046D-14 1.654D-13 4.043D-12 0.000D+00 1.710D-11 1.740D-12 2.579D-13 4.008D-14
   6.0    5.226D-17 1.103D-16 4.723D-16 3.565D-15 5.147D-14 1.998D-12 0.000D+00 1.245D-11 1.175D-12 1.485D-13
   7.0    8.728D-19 1.872D-18 7.476D-18 5.490D-17 6.768D-16 1.638D-14 1.003D-12 0.000D+00 9.024D-12 7.825D-13
   8.0    1.019D-20 2.145D-20 8.578D-20 5.866D-19 6.974D-18 1.380D-16 5.383D-15 5.129D-13 0.000D+00 6.735D-12
   9.0    7.522D-23 1.573D-22 6.177D-22 4.153D-21 4.629D-20 8.779D-19 2.783D-17 1.821D-15 2.757D-13 0.000D+00

   temperature cinetique=   340.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 3.603D-11 6.204D-12 1.813D-12 3.643D-13 8.196D-14 1.813D-14 3.862D-15 8.148D-16 1.508D-16
   1.0    7.409D-11 0.000D+00 4.643D-11 6.792D-12 1.752D-12 3.605D-13 7.618D-14 1.651D-14 3.422D-15 6.293D-16
   2.0    1.002D-11 3.646D-11 0.000D+00 4.149D-11 5.355D-12 1.183D-12 2.413D-13 4.881D-14 1.014D-14 1.833D-15
   3.0    1.334D-12 2.430D-12 1.890D-11 0.000D+00 3.319D-11 3.983D-12 7.609D-13 1.502D-13 2.909D-14 5.173D-15
   4.0    7.810D-14 1.826D-13 7.108D-13 9.668D-12 0.000D+00 2.524D-11 2.855D-12 4.829D-13 9.045D-14 1.510D-14
   5.0    3.420D-15 7.315D-15 3.057D-14 2.258D-13 4.913D-12 0.000D+00 1.872D-11 1.983D-12 3.047D-13 4.886D-14
   6.0    1.013D-16 2.069D-16 8.345D-16 5.776D-15 7.439D-14 2.507D-12 0.000D+00 1.376D-11 1.356D-12 1.772D-13
   7.0    2.032D-18 4.226D-18 1.591D-17 1.074D-16 1.186D-15 2.501D-14 1.297D-12 0.000D+00 1.007D-11 9.100D-13
   8.0    2.907D-20 5.936D-20 2.241D-19 1.410D-18 1.505D-17 2.605D-16 8.659D-15 6.822D-13 0.000D+00 7.545D-12
   9.0    2.676D-22 5.428D-22 2.013D-21 1.247D-20 1.250D-19 2.077D-18 5.629D-17 3.067D-15 3.752D-13 0.000D+00

   temperature cinetique=   360.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 3.743D-11 6.544D-12 1.971D-12 4.073D-13 9.418D-14 2.143D-14 4.683D-15 1.014D-15 1.925D-16
   1.0    7.860D-11 0.000D+00 4.856D-11 7.289D-12 1.938D-12 4.107D-13 8.924D-14 1.988D-14 4.230D-15 7.980D-16
   2.0    1.125D-11 3.976D-11 0.000D+00 4.377D-11 5.822D-12 1.329D-12 2.791D-13 5.808D-14 1.241D-14 2.302D-15
   3.0    1.644D-12 2.894D-12 2.123D-11 0.000D+00 3.538D-11 4.388D-12 8.664D-13 1.763D-13 3.515D-14 6.422D-15
   4.0    1.075D-13 2.434D-13 8.932D-13 1.119D-11 0.000D+00 2.719D-11 3.185D-12 5.574D-13 1.077D-13 1.850D-14
   5.0    5.356D-15 1.112D-14 4.394D-14 2.992D-13 5.861D-12 0.000D+00 2.037D-11 2.240D-12 3.564D-13 5.889D-14
   6.0    1.841D-16 3.651D-16 1.395D-15 8.927D-15 1.037D-13 3.078D-12 0.000D+00 1.511D-11 1.550D-12 2.094D-13
   7.0    4.357D-18 8.807D-18 3.143D-17 1.968D-16 1.966D-15 3.666D-14 1.637D-12 0.000D+00 1.115D-11 1.049D-12
   8.0    7.479D-20 1.486D-19 5.323D-19 3.109D-18 3.012D-17 4.622D-16 1.330D-14 8.835D-13 0.000D+00 8.392D-12
   9.0    8.394D-22 1.657D-21 5.837D-21 3.358D-20 3.057D-19 4.515D-18 1.063D-16 4.913D-15 4.961D-13 0.000D+00

   temperature cinetique=   380.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 3.878D-11 6.877D-12 2.131D-12 4.523D-13 1.073D-13 2.508D-14 5.619D-15 1.248D-15 2.428D-16
   1.0    8.299D-11 0.000D+00 5.063D-11 7.785D-12 2.129D-12 4.642D-13 1.036D-13 2.368D-14 5.170D-15 1.000D-15
   2.0    1.251D-11 4.303D-11 0.000D+00 4.600D-11 6.295D-12 1.481D-12 3.201D-13 6.843D-14 1.502D-14 2.858D-15
   3.0    1.987D-12 3.393D-12 2.359D-11 0.000D+00 3.755D-11 4.803D-12 9.786D-13 2.051D-13 4.202D-14 7.882D-15
   4.0    1.437D-13 3.161D-13 1.099D-12 1.279D-11 0.000D+00 2.914D-11 3.529D-12 6.379D-13 1.270D-13 2.241D-14
   5.0    8.052D-15 1.628D-14 6.109D-14 3.863D-13 6.882D-12 0.000D+00 2.204D-11 2.512D-12 4.129D-13 7.026D-14
   6.0    3.168D-16 6.115D-16 2.223D-15 1.325D-14 1.403D-13 3.711D-12 0.000D+00 1.649D-11 1.757D-12 2.451D-13
   7.0    8.706D-18 1.715D-17 5.829D-17 3.407D-16 3.111D-15 5.188D-14 2.023D-12 0.000D+00 1.226D-11 1.199D-12
   8.0    1.763D-19 3.413D-19 1.166D-18 6.364D-18 5.650D-17 7.775D-16 1.965D-14 1.118D-12 0.000D+00 9.275D-12
   9.0    2.367D-21 4.556D-21 1.531D-20 8.237D-20 6.877D-19 9.129D-18 1.891D-16 7.541D-15 6.400D-13 0.000D+00

   temperature cinetique=   400.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 4.010D-11 7.202D-12 2.292D-12 4.991D-13 1.214D-13 2.910D-14 6.678D-15 1.519D-15 3.030D-16
   1.0    8.727D-11 0.000D+00 5.265D-11 8.278D-12 2.327D-12 5.210D-13 1.192D-13 2.795D-14 6.254D-15 1.240D-15
   2.0    1.378D-11 4.628D-11 0.000D+00 4.819D-11 6.771D-12 1.640D-12 3.643D-13 7.990D-14 1.799D-14 3.510D-15
   3.0    2.364D-12 3.924D-12 2.599D-11 0.000D+00 3.969D-11 5.227D-12 1.097D-12 2.365D-13 4.976D-14 9.574D-15
